iter	Passed	Remaining
203	532	2077
204	533	2070
205	534	2061
206	535	2052
207	536	2043
208	537	2034
209	538	2026
210	540	2019
211	541	2011
212	542	2003
213	543	1994
214	543	1985
215	544	1977
216	545	1968
217	546	1960
218	547	1951
219	548	1943
220	548	1935
221	549	1926
222	550	1918
223	551	1909
224	551	1901
225	552	1892
226	553	1884
227	554	1876
228	555	1868
229	555	1861
230	556	1853
231	557	1845
232	558	1837
233	558	1828
234	559	1820
235	559	1812
236	560	1804
237	561	1796
238	561	1788
239	562	1781
240	563	1773
241	563	1765
242	564	1758
243	565	1750
244	565	1743
245	566	1735
246	566	1728
247	567	1720
248	568	1713
249	568	1706
250	569	1700
251	570	1693
252	571	1686
253	571	1679
254	572	1671
255	572	1664
256	573	1658
257	574	1651
258	574	1644
259	575	1637
260	575	1630
261	576	1623
262	577	1617
263	577	1610
264	578	1604
265	578	1597
266	579	1591
267	580	1584
268	580	1578
269	581	1572
270	582	1565
271	582	1559
272	583	1553
273	584	1548
274	584	1542
275	585	1536
276	586	1530
277	586	1524
278	587	1518
279	588	1512
280	588	1506
281	589	1500
282	589	1494
283	590	1488
284	591	1483
285	591	1477
286	592	1471
287	592	1466
288	593	1460
289	594	1455
290	594	1449
291	595	1443
292	596	1438
293	596	1433
294	597	1427
295	598	1422
296	598	1417
297	599	1412
298	600	1407
299	600	1402
300	601	1397
301	602	1391
302	602	1386
303	655	1501
304	657	1498
305	659	1495
306	660	1491
307	662	1488
308	665	1487
309	666	1484
310	668	1480
311	669	1476
312	671	1473
313	672	1469
314	673	1465
315	675	1461
316	676	1458
317	678	1454
318	679	1451
319	716	1522
320	720	1523
321	722	1521
322	725	1519
323	728	1520
324	730	1516
325	732	1513
326	733	1510
327	735	1506
328	736	1502
329	738	1498
330	739	1494
331	740	1490
332	742	1486
333	744	1484
334	746	1480
335	747	1476
336	748	1473
337	749	1468
338	751	1464
339	755	1465
340	758	1466
341	760	1462
342	760	1457
343	761	1452
344	762	1447
345	763	1442
346	764	1437
347	764	1432
348	765	1428
349	766	1423
350	767	1418
351	768	1414
352	768	1409
353	769	1404
354	770	1399
355	771	1394
356	772	1390
357	773	1386
358	774	1382
359	774	1377
360	775	1372
361	776	1368
362	777	1363
363	777	1358
364	778	1354
365	779	1349
366	783	1350
367	791	1359
368	794	1358
369	796	1356
370	799	1354
371	801	1352
372	803	1350
373	804	1347
374	806	1344
375	808	1341
376	809	1337
377	810	1334
378	812	1330
379	813	1326
380	814	1323
381	815	1319
382	816	1315
383	817	1312
384	819	1308
385	820	1304
386	821	1300
387	821	1296
388	822	1292
389	823	1288
390	824	1284
391	825	1280
392	826	1276
393	827	1272
394	828	1269
395	829	1265
396	830	1261
397	831	1258
398	832	1254
399	833	1250
400	834	1246
401	835	1242
402	836	1238
403	836	1234
404	837	1230
405	838	1226
406	839	1222
407	839	1218
408	840	1214
409	840	1210
410	841	1206
411	842	1202
412	842	1197
413	843	1193
414	844	1190
415	844	1185
416	845	1182
417	846	1178
418	847	1174
419	847	1170
420	848	1166
421	849	1163
422	849	1159
423	850	1155
424	850	1151
425	851	1147
426	852	1143
427	852	1139
428	853	1135
429	854	1132
430	854	1128
431	855	1124
432	855	1120
433	856	1117
434	857	1113
435	857	1109
436	858	1105
437	858	1102
438	859	1098
439	860	1094
440	860	1091
441	861	1087
442	862	1084
443	863	1080
444	863	1077
445	864	1073
446	864	1070
447	865	1066
448	867	1065
449	874	1068
450	880	1071
451	883	1071
452	885	1069
453	888	1068
454	890	1066
